x,y,ISL,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,BAD_FLAG
145.6743387,18.73089441,AGR,123732.6022,117135.002,101911.1017,105525.4018,83889.50149,71095.10126,101104.1018,101978.4017,104193.8017,96375.70167,91181.9015,102613.0018,122803.1021,108304.9018,109800.8019,86754.20144,70021.50114,100051.7017,111217.502,87466.40158,76985.60137,76460.30127,76212.40138,107270.1019,76180.70123,90077.30153,86643.80151,89093.90163,95688.10164,65691.10112,78095.6012,78443.40131,66785.60117,60818.80101,0
145.67731,18.73424012,AGR,99285.30179,100937.0017,87747.90144,81721.90139,72348.80128,55063.20097,82124.50143,79597.60136,80945.60132,87292.50152,68555.90114,72816.70119,101634.4018,98203.80159,94145.40167,60406.701,55184.80091,79351.00129,91944.40168,73624.60135,57716.90104,61907.20104,56984.00104,84625.00154,58609.40094,71307.00119,77587.20135,68118.80126,81901.00141,46723.20079,59360.00092,64365.90109,53047.90093,36000.80061,0
145.6812566,18.73605518,AGR,82017.80151,86647.80144,77778.50126,69695.10116,64925.60115,44525.00079,64756.20112,64796.30109,66652.5011,75626.40136,55688.2009,56374.40094,85009.60153,87551.90143,80009.80142,47992.5008,43682.70071,63422.70097,77264.40143,60177.80108,41721.40076,51571.90087,47770.20085,71025.20133,47577.40074,60532.70102,69220.00123,49330.10091,68510.30119,34901.30061,47649.80074,51771.50086,41003.50072,28755.70048,0
145.6857211,18.73723698,AGR,66157.40121,64275.20109,61565.301,52752.40086,53674.80095,35674.80063,46775.80083,47764.80079,51315.70085,61291.10112,41119.80067,42375.6007,67266.80121,71535.90118,60901.60107,35246.40058,30735.20051,50886.50079,65746.40123,45677.2008,28631.20052,36429.40061,32773.40056,58657.10111,31201.90051,47474.2008,55214.10096,30829.60056,52973.10092,23764.00041,34549.00053,34681.00053,26328.90046,22572.50036,0
145.688883,18.73722756,AGR,151989.7027,136038.8023,119549.202,141186.3024,101426.3018,97546.00174,131256.1023,131517.5022,122599.7021,112286.602,137255.6023,158086.6028,141876.4024,135946.9022,129413.8023,117919.302,91208.6015,132830.0022,152231.6027,102738.6019,98432.50172,99451.90164,107156.7019,131870.6024,113015.1018,120378.602,103446.2018,123443.2022,114807.4019,92880.60159,102264.0016,116282.902,105367.7018,108125.6019,0
145.6889995,18.73918029,AGR,138044.5024,124101.9021,109933.8018,121922.7021,89884.30159,79224.7014,113497.902,113168.9019,111233.7019,102290.9018,109087.7018,125432.1022,130698.6023,116150.0019,116980.502,99494.30164,77762.80128,112015.8018,125521.1023,91857.70166,85011.30151,85160.10141,87796.60159,118109.8021,87584.00142,103771.9018,92701.90161,98668.50178,102587.5017,77498.30133,89601.8014,86514.90144,80535.40141,77517.00133,0
145.6908764,18.74011587,AGR,152837.1027,138035.8024,121635.8021,144415.1025,103080.5018,101846.8018,133685.0024,133462.7022,124418.9021,114248.402,140930.1024,161242.1028,144240.8025,137990.3023,129985.6023,119149.802,93956.90156,135158.2022,154663.7027,104668.9019,100065.9017,103274.8017,109193.302,132506.5024,117597.4019,123219.8021,103838.9018,123874.1022,118138.502,95622.20164,103876.3017,118719.902,108631.1018,112034.6019,0
145.6929108,18.74373289,AGR,152996.0027,137048.0024,121540.502,141286.2025,105057.4018,104097.0019,135939.9024,133229.2022,125207.3021,115518.302,140301.2023,160583.7028,143858.7025,138722.0023,127996.0022,117601.102,96701.30162,132828.8022,149435.9026,106815.4019,99892.90174,105079.6017,106045.2019,130569.0023,119873.702,118659.902,101674.3018,122332.5022,118464.602,97019.20166,104148.9017,119611.702,109441.4019,112956.202,0
145.6941286,18.74791874,AGR,150495.6026,133199.0023,120023.302,136976.9024,104134.4018,101888.1018,134671.9024,130633.2022,121783.7021,114971.602,138959.8023,158401.9028,142313.8024,136176.1023,126335.6022,113455.0019,94556.30158,130130.6022,147935.8026,105624.8019,99532.00174,103482.5017,104807.1019,128467.0023,118213.8019,116116.9019,100241.3017,120303.3021,117914.402,96154.80165,102180.6016,119454.502,108132.4018,110801.8019,0
145.6946553,18.7523109,AGR,145954.0026,128687.7022,115596.502,129808.5023,101426.3018,95643.50172,130631.4023,125581.1021,116426.902,112132.102,132871.2022,153428.4027,135696.5023,131178.8022,124013.2022,109523.5018,89735.70148,124687.6021,144146.2025,101960.5018,97390.7017,97913.30161,100340.7018,125199.6022,110663.0018,110491.9018,98816.00171,118595.7021,113556.2019,92705.20158,99171.30157,116282.902,103396.1018,104244.4018,0
