Site,x,y,Wave Power (kwhr/m),1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,BAD_FLAG
ALA-00002,145.8153,17.60753,32455.67244,26623.10043,38018.10063,43778.80077,44451.30082,25728.60048,33109.50059,20461.30035,59348.101,40165.20074,27026.80044,40067.80076,29973.60052,43739.60079,41511.50077,28374.90049,35529.60063,27865.30048,44905.30074,49527.70088,17903.10034,16438.40029,26181.20043,31487.20049,25345.40043,30054.10049,42981.20072,30871.90056,26686.40047,25893.80047,17962.50028,34525.10058,12045.10019,0
SAI-00056,145.832176,15.26880783,129353.0679,157687.1028,144417.1025,127019.5023,148890.7025,108737.8019,114120.902,138569.5025,149380.1025,133571.5023,114310.002,149390.6027,164786.0029,149747.5026,146712.4026,132866.0023,124044.8021,104134.0018,136205.4024,159179.1028,112450.302,101170.4017,111754.9019,111055.702,137793.7024,129695.6023,128093.0023,109081.2019,129663.2023,124446.1022,105185.1019,113692.3019,121446.6021,0
GUG-00050,145.8508079,17.31502695,127518.971,150030.7026,141329.5024,119646.402,146751.8026,105495.3018,113149.002,144523.4025,153997.5028,126943.3021,111650.602,152174.9026,158999.5028,145257.4026,128958.3022,127724.1022,132257.0023,102403.0017,126578.2021,154406.2025,113623.802,102464.1018,112760.4019,116255.602,121470.0021,132414.9023,130422.4022,105096.3018,134268.6023,123038.5022,106707.4019,118256.002,121552.9022,0
SAI-00002,145.78762,15.17602,115021.6364,141044.4025,128426.7022,112869.102,129732.7022,98694.90175,97690.20167,131137.7024,130823.3022,117163.9021,111008.0019,131873.2024,146632.5026,126680.6023,120881.3021,121090.6021,110193.2018,90646.40155,118943.502,137453.7024,102254.5018,96279.30165,100337.3017,101695.0018,112660.002,114653.802,111694.902,96091.50164,118290.8021,112522.8019,94262.20167,101019.9017,115944.402,0
MAU-00001,145.2077,20.02328,39734.74131,39127.70071,46820.10084,47181.70081,56649.50098,35450.40063,37789.30069,21341.40038,72187.60133,53540.30085,40913.50077,40261.30065,31775.30058,54261.20094,42463.30074,29684.60052,42423.60073,28990.80045,55044.10093,64838.10105,23492.30037,24494.80042,31089.00053,37923.30068,46529.10084,41937.50068,45435.10078,41480.50076,31347.80056,19539.90033,27427.50045,39272.90067,20798.20037,0
AGR-00004,145.64882,18.80747,28257.66611,25458.30046,30400.00051,28663.40049,36417.80062,17033.9003,32233.30059,19217.70037,52763.60084,31943.80054,15212.30029,33330.90058,34093.70059,32439.10054,33828.10059,24706.40039,33993.70057,23522.30041,31953.70055,45510.10078,15932.0003,12392.40019,23500.00036,31827.4006,24024.20044,33101.50061,43221.10078,22929.6004,27903.60047,20202.90032,19342.80034,28839.50049,18306.2003,0
AGR-00056,145.6370976,18.77903237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAI-00057,145.7819239,15.18612119,113468.3895,140665.0025,127110.3022,111672.902,126453.8021,97432.40173,93799.00161,129179.7023,126471.3021,115228.502,109082.4019,129402.4023,149206.5026,126977.4022,120659.5021,120297.3021,108875.3018,86991.60149,117392.602,136675.9024,100236.1018,95177.80163,97931.30167,99234.20176,114855.602,111494.5019,109490.9019,95094.00162,117505.7021,109701.0019,93494.40166,99200.10163,113999.002,0
ALA-00003,145.81808,17.58693,20273.00347,22481.00039,18364.20031,32847.10059,32159.30058,9180.70018,13848.90024,7902.900141,47093.00077,35145.00062,18072.00027,27931.60056,24546.10044,33602.60059,28476.30052,12333.10023,24158.00044,5111.600091,34278.80052,43122.70075,2785.400043,9481.400166,13561.30022,19383.1003,23703.70041,11452.20018,33044.3005,16391.10031,14730.30026,7809.00015,3630.30005,19660.70032,2448.400043,0
SAI-00003,145.76963,15.156,2565.015669,5866.500113,1818.900025,4098.500079,6829.300123,0,1492.10003,348.4000063,4000.700063,4630.700039,0,4350.400089,3370.500076,5326.900072,6205.200103,398.3000054,2914.200056,559.1000118,4473.200089,3544.100063,347.7000074,960.1000137,786.4000092,354.6000061,7510.000137,767.7000144,4684.600071,1590.000025,1484.000019,2833.600062,0,534.8000097,0,0
GUG-00051,145.8321662,17.30808003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAU-00011,145.20873,20.01348,29143.43176,32305.1006,30681.60056,36687.60065,49059.40081,21477.20041,24551.30046,12791.10024,58278.20108,49153.1008,31041.40059,32862.70053,26712.40046,44528.10076,30173.60056,16960.8003,32032.60054,12335.70024,44091.80074,59467.00095,10962.50019,17016.8003,20270.50035,28474.80053,32595.50062,24878.00038,39941.40068,28711.50053,19765.50039,13578.80022,10342.30018,31526.20056,9335.300175,0
MAU-00010,145.21238,20.0176,4544.753204,8274.800128,2986.600053,3389.200058,11682.70033,1089.100018,2815.500044,2381.900043,6487.400093,5927.200092,2798.300046,3873.100073,5974.700093,16065.30029,8770.10012,3794.700065,3517.200059,1496.800026,3150.000059,13424.70021,799.0000131,1727.900037,1301.300016,6025.100107,4159.100088,1043.900019,5742.800091,2237.200042,3897.60006,2733.700025,1632.500023,4702.60007,1530.100022,0
AGR-00057,145.6347193,18.776711,17534.4378,23816.60045,20377.30032,24614.20042,28036.70045,5828.100106,13247.30023,4811.400087,38122.20059,25834.20041,6034.800102,21845.9004,19072.80031,25318.90044,22745.00036,13893.20023,28395.50047,8871.800144,22146.90035,29015.80049,5200.700106,4743.800068,11018.10018,18003.90034,21854.80041,13504.80025,34572.80063,16449.10028,17462.7003,9903.800165,8088.000149,16145.10028,2125.800035,0
AGR-00054,145.6767676,18.81122164,126884.4678,150107.9026,143667.7025,122198.6021,143208.1025,111040.802,112913.902,139802.5025,145778.6024,136214.9023,116535.1021,148938.7025,157930.2028,143726.2025,140048.1023,132664.2023,125158.3021,105183.7018,133645.3023,149886.9026,112658.902,101289.3018,111392.2018,108906.002,123213.3021,127088.7021,123294.0021,108625.8019,125146.8022,122016.8021,105129.4018,111045.3018,121846.7021,0
WAK-00058,166.5976849,19.29873451,13593.56586,12824.80021,12836.60023,28575.00047,15450.7003,11925.60021,10859.30018,2840.200046,29901.40056,24472.80047,5442.800109,9459.200193,8601.20013,20227.30033,19566.50033,19172.40039,28413.1005,5784.700104,17840.70028,27254.00049,6927.4001,3250.300036,5731.500108,17030.6003,17389.6003,15454.40026,9929.600176,14877.40027,11363.6002,8745.900147,2614.800062,6907.50012,3323.200054,0
GUA-00058,144.721177,13.246759,10963.86269,20811.50038,13111.00022,16008.6003,16794.6003,5486.600101,8293.600133,3032.900056,11419.30019,8956.800167,2317.500029,8750.000132,20785.40031,26659.40038,15556.00029,11220.10021,13030.50025,2783.500057,20984.90035,22036.90039,1654.90003,3492.300064,5243.400084,10550.60017,21729.5004,7737.800155,17038.80028,7635.800132,10004.90019,7369.300117,2975.600062,5387.600089,1984.000031,0
GUA-00059,144.6514146,13.31882536,9266.443912,14605.00027,9510.70014,16701.30031,18631.20033,2550.100044,7404.100135,902.1000156,18947.50034,14947.30027,2272.700041,10825.40019,11684.70022,13197.80023,10635.50016,6035.800114,19395.10038,2335.800043,17039.30029,16313.40026,772.0000134,1597.300032,4333.500074,11692.40018,13791.20023,3279.800062,22038.70036,6573.000113,8112.400163,2186.600043,594.3000126,7263.000114,357.2000041,0
AGU-00053,145.5280591,14.83678233,119309.0427,159418.1028,138466.2023,132010.7023,140152.7024,96876.60173,92220.00164,119818.5021,148024.9024,132444.5022,109439.4019,131363.9022,146794.5026,149403.0026,133963.5022,127719.1022,123903.202,85971.30142,126899.8021,149994.3027,96721.80176,90424.2016,97999.50162,103610.8019,136271.7025,104128.0017,129747.7022,105383.3018,114987.8021,111765.5019,86604.20149,103188.3017,92172.30154,0
AGU-00050,145.5661973,14.86414262,117003.2989,156464.7028,134522.7023,130458.1022,138465.3024,94014.50167,90404.60159,118413.9021,144412.8023,130621.2022,109443.3019,127053.5021,145928.3025,146497.5025,130748.6021,124959.5022,123643.9021,82798.80136,125479.6021,147037.5026,94500.90171,90377.20159,95152.20158,103990.9019,134539.4024,99675.40162,125810.5022,101212.2018,112743.302,107284.4018,82993.20142,101942.7016,92514.90154,0
AGU-00051,145.5492441,14.85675867,116074.402,155544.8028,136391.8023,128927.6022,136771.1024,94304.60168,88993.10158,116703.502,143482.1023,130272.3022,108782.6019,124502.9021,140521.4024,146448.5025,130585.1021,126227.9022,120964.802,82440.30135,124218.0021,146641.7026,94217.60171,88933.10157,94323.50157,100651.2018,134021.9024,98912.20164,124678.0021,102239.0018,110416.402,109176.8019,83014.20143,101819.1016,89253.7015,0
AGU-00052,145.5373196,14.8461507,117861.252,157996.4028,137562.0023,131004.9022,138457.0024,95813.40171,90854.00162,118682.4021,146232.8024,131607.1022,109168.8019,128292.1021,143125.9025,148268.5026,132738.4022,127067.1022,122669.002,84346.10139,125574.0021,148266.8026,95578.00174,89800.20159,95876.70158,102047.1018,135365.7024,101548.7017,127355.8022,104367.1018,113051.302,110500.2019,85260.80147,102394.5016,90687.20152,0
WAK-00052,166.5954821,19.31458645,119812.3646,115435.402,137142.1024,123448.1022,137516.9024,126457.7022,133508.7025,115737.902,131340.2023,121414.3021,96560.50171,129936.2023,109537.9019,122616.1021,141386.9024,123933.5022,133272.2023,133289.5021,138028.2024,134073.8025,110697.7018,81566.70134,114464.202,119383.302,94295.50159,132011.2023,136643.9025,121759.4021,101739.3018,94458.20164,115550.102,101141.3018,105648.7019,0
WAK-00054,166.6560012,19.27683569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WAK-00001,166.62753,19.28015,9314.309537,6452.900122,2215.300047,22183.60037,10917.0002,5840.200111,9451.000163,2274.70004,28630.30054,15343.60028,7320.200138,7084.600128,8125.200131,13099.40023,13669.90021,10688.50021,22172.30037,2622.700037,11369.50019,24936.0004,2006.300034,1264.400017,4393.200069,12176.70021,10707.20018,4952.600069,11276.2002,2880.600049,9580.500177,3092.800049,3471.700058,6288.800112,1570.000027,0
WAK-00065,166.627349,19.31619435,187473.1814,207310.4036,209629.9036,165712.8029,198993.8034,165529.6029,176585.5032,201787.7035,197906.6033,192897.0033,156771.0027,224506.1039,223390.804,192911.5033,184840.8031,188740.1032,186361.3031,190045.0031,200841.5035,193886.3035,197168.7034,159490.0027,179989.2032,166361.5028,170785.6029,197582.8035,208243.1037,172317.3029,184394.4032,166167.1029,188021.7032,169388.1029,180584.5032,0
WAK-00066,166.612566,19.28716,9332.615789,5722.500097,8222.100168,22070.50036,10974.10021,6122.300111,8420.100146,1051.300015,25881.10049,16980.30032,4564.900088,7214.700145,7520.800117,14708.10026,14494.80023,10872.90022,22694.50038,1951.800034,12764.00021,25707.10042,1408.900028,1072.800013,3935.900061,12131.10021,10054.90018,6321.20009,10127.80019,3572.400074,9005.800157,3917.900064,2506.100046,5764.400105,886.6000156,0
ROT-00051,145.2634441,14.15336553,7380.134511,16998.40034,7670.50014,10572.70015,10491.60019,2357.900039,6081.200114,2292.900052,4900.500085,6059.400124,928.9000189,6601.700115,14565.20024,21272.40051,15524.30031,5210.700078,7886.600118,1664.600029,13798.10027,16638.60034,464.1000051,2294.600034,3624.700064,4797.900079,17954.50032,4295.500072,10695.10016,3930.900069,6049.700118,5585.000093,1236.500021,3132.700051,586.9000096,0
ROT-00003,145.16717,14.114,7220.084499,11680.70021,8730.900143,13704.60022,10396.60018,127.1000042,3381.900064,572.4000125,10581.10021,7570.600132,606.400012,6481.600107,11106.90018,8576.900139,8148.10015,7144.4001,13885.20025,1075.000026,8276.400134,13673.70024,698.8000078,1788.200022,3940.100071,13802.80022,13264.10025,3782.200061,22048.20035,6692.900103,9184.900197,2676.200044,1046.000015,6366.700121,31.10000086,0
GUA-00002,144.65307,13.30528,9930.10955,15167.30028,10857.30017,17495.20032,19430.40034,2961.000055,7976.000142,1105.200018,21740.80039,16724.3003,2393.200043,11101.9002,11940.70023,14916.90026,11580.30018,6241.300116,21513.30042,2449.500045,17847.40033,17403.20027,807.0000138,2255.800039,4480.300077,11784.20018,14679.70024,3572.300067,22752.60038,7571.300135,8237.800165,2173.000042,600.2000127,7352.600116,651.5000088,0
GUA-00061,144.939451,13.547044,108430.3612,140537.0025,121148.702,105488.2019,122593.3021,95297.20165,93813.90158,119426.9021,114220.002,109848.4019,102566.1017,120445.4019,143441.7025,132852.4021,123190.7021,117135.202,102104.7018,88167.40153,117352.602,122743.5021,96571.10169,87308.00153,93559.20158,90436.60162,111754.4019,101839.0018,103769.7018,92521.90162,109802.9019,107978.5017,88156.90154,90348.50153,103351.5017,0
GUA-00062,144.8924987,13.504352,81954.87328,108052.2019,105051.3018,84322.10149,82301.30142,80283.0014,69258.30117,88834.40155,90615.10157,92009.80159,88223.0015,73380.70122,92611.10158,111380.4017,94561.60162,100532.7018,72343.60122,68055.3012,84803.50147,84235.50145,84378.10149,68686.20121,72239.50123,66019.50118,83965.90149,67732.10118,72720.00124,75480.2013,76845.40134,87456.90142,61849.70107,64574.00106,69753.50116,0
GUA-00060,144.633032,13.35776953,11954.35646,18148.90034,12517.3002,20091.40037,22033.40039,4415.300074,9036.100165,1532.800025,25494.40048,21684.80038,2596.900046,12250.60021,13471.10025,18502.10033,14697.50025,8457.800164,22900.00044,3986.500072,22404.40039,20536.10033,1382.200023,3847.100071,6076.100109,13153.7002,17554.50029,6400.900117,24204.50041,10711.6002,9049.80018,2507.900046,1809.400031,9132.000151,1952.30003,0
ROT-00055,145.2030792,14.17852323,35457.67873,35680.20057,26577.30046,34857.10061,45633.3008,22823.90038,38529.80067,27172.20051,56722.90098,41277.00069,19590.50037,54360.00091,50253.40082,34842.9006,43333.30079,21639.50035,44317.40078,28140.90048,41545.60067,56569.90095,18146.40031,19734.10035,29428.10048,35604.80063,33052.40057,46178.10078,44528.00076,26463.80043,38487.00068,22345.90041,26530.90045,33823.90056,36455.20062,0
ROT-00056,145.17842,14.17029,44657.41951,47569.30074,32558.40056,41133.50072,58840.60101,30051.30052,44796.20077,41087.30076,65165.50111,45183.30073,25281.20047,70012.80115,70169.30117,43007.30072,49620.90089,28009.70045,57005.00101,37652.60064,52673.80085,66438.40111,23344.00039,28046.10049,37295.70063,43388.80078,42053.1007,55939.60094,53843.80094,31168.70053,47661.50085,31483.60058,39587.70069,44705.10077,44263.30077,0
WAK-00063,166.6424299,19.27503794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WAK-00062,166.6459446,19.27325101,8758.534528,5298.200095,1951.000042,21185.90035,10543.30019,4980.000092,8672.600149,1716.100029,27563.00053,15181.30028,5906.800114,6790.700125,7556.100124,12383.60022,13274.00021,10534.20021,21904.60037,2003.100024,11097.50018,24085.30039,1561.200027,1024.500011,4051.300066,11634.7002,9708.400161,4992.50007,10261.00019,2469.400046,9459.500171,2386.40004,2872.800047,5996.700107,1227.40002,0
GUA-00014,144.9164833,13.5158,89004.85153,120793.0022,111608.0019,92064.50163,97184.6017,83211.00144,73932.80125,96050.40167,95217.80164,97748.10169,90394.80153,83326.30136,107858.6018,120523.0019,101758.7017,103797.1018,83684.70141,71288.50126,97323.40168,91319.40155,86641.60154,73753.8013,76196.60129,72041.40129,94317.60164,74071.30129,82846.30141,79690.30138,84470.90147,91825.2015,67933.30118,72176.70119,73105.50121,0
GUA-00008,144.877467,13.4888,64826.56048,90213.10161,86927.00148,75203.20132,66605.40116,69244.90122,55441.50092,67434.10119,63721.00108,72099.20124,75316.70127,54816.7009,62768.90102,90967.30136,82933.40142,83590.90146,51745.00087,49679.60089,69246.30122,62373.60106,67007.40118,50021.50087,57151.20098,48007.40087,69546.7012,52197.80088,58428.30097,64498.40112,55781.20097,73644.9012,44604.50077,48360.60079,54872.2009,0
GUA-00063,144.7787045,13.37681187,100226.4048,132785.5023,113259.4019,96921.60172,107859.6019,90215.60156,84883.00143,111913.3019,107268.0018,103606.1018,99403.20168,109952.0018,130380.5023,123596.0019,112039.5019,112304.702,94335.30162,81756.00143,104766.4018,110704.6019,92555.30164,82959.30146,87850.40149,81207.80144,102043.7018,91994.30162,93803.50163,86650.6015,101330.5018,100178.1016,82158.30145,83270.8014,93292.00153,0
WAK-00013,166.64288,19.31576,209700.8255,235712.8041,242398.2042,199366.3034,221884.2038,188926.2033,192630.0035,221178.3038,226107.3038,218449.9038,181597.7032,241290.8042,237451.4042,217983.5038,202513.8033,211704.5036,205082.2035,208366.1035,218106.5038,226452.0041,216581.9037,178525.903,199527.4035,186799.2032,198732.5034,216419.3039,221154.904,195482.0033,207945.6035,190590.4033,203444.4035,187411.0032,210610.1038,0
GUA-00053,144.9409797,13.60201559,104625.133,127349.5022,118616.002,98453.50171,118270.702,91393.20156,89333.60153,116120.902,119314.0021,114202.702,100487.0017,117220.5019,127669.4023,114881.102,115128.402,112303.602,105640.1018,87984.90152,110345.3019,113396.9019,96398.90169,87935.30154,91140.80155,89969.40162,101261.4017,101794.2018,99323.90174,93970.30167,104136.0018,101427.9016,88641.20154,89888.10152,104005.5017,0
GUA-00054,144.8844126,13.64472507,109307.405,132605.7023,122686.7021,105773.9019,120847.6021,98763.0017,93567.60159,117423.702,127085.0022,121063.6021,106052.8018,123077.702,136321.7024,127896.0021,120049.702,117630.6021,109022.1019,90060.30156,118628.702,121078.402,98689.20174,89546.90156,94105.90159,91769.80165,110313.5019,105115.4018,103917.6018,97794.90173,108079.2019,101630.2017,89912.40158,92497.00157,104830.1017,0
GUA-00055,144.8343,13.6174,12135.88771,13905.30023,11587.90019,16554.80029,15328.10026,7860.000135,10350.30018,3689.300066,29650.30055,21412.20037,5985.500103,12112.60023,11627.60024,16508.7003,14127.20023,8065.600156,19590.50035,7379.400121,17770.1003,21531.10034,4696.800081,5561.500103,8710.100145,11982.40019,15583.80028,12225.10023,18635.20033,11260.40022,8205.300155,4284.500081,5604.900101,11995.1002,4566.800078,0
GUA-00056,144.8089541,13.550601,10294.21893,12946.60021,8412.500149,14594.70026,12554.80021,6608.600111,9225.100163,2452.700041,27005.30051,20363.70035,5452.300096,10508.2002,9176.500189,14744.00027,12235.00019,5704.400115,16859.50031,5879.900102,16052.90027,17405.00029,3562.300058,5068.200093,6358.100112,9243.700154,13712.40025,9812.900182,16062.70028,9844.000188,6480.600122,2927.10006,4635.500084,9640.200161,3885.600066,0
GUA-00004,144.79765,13.51698,9116.793912,12253.4002,6344.900116,13285.50023,11094.80018,5894.400097,8542.10015,2038.500033,24421.80047,19716.30034,4792.800086,9138.000176,7449.100154,13710.60024,10842.60017,4572.200098,15742.4003,5328.400094,13975.70024,15439.30025,2430.80004,4445.700084,5671.900105,8110.600129,12275.90023,8662.200156,14227.50024,8771.700171,5077.30009,2348.50005,3901.600066,7939.400134,3291.500056,0
ROT-00052,145.1943908,14.11275253,19338.54721,31099.40055,23347.30038,31710.40053,18047.20032,19358.00033,19141.80034,11887.40022,18913.3003,17047.70028,14494.30023,13580.10022,31852.90054,32948.10065,31233.0006,23449.4004,17652.9003,10330.30017,26762.20053,36051.4007,9184.100151,8107.300128,12225.80022,14608.30022,37693.40065,12366.30019,27960.80041,17467.50028,15170.90029,12383.20022,6900.600123,10014.20019,5844.000103,0
