"SITEVISITID","SITE","OBS_YEAR","DATE_","MISSIONID","ANALYSIS_YEAR","ANALYSIS_SCHEME","SEC_NAME","EXCLUDE_FLAG","new_MIN_DEPTH_M","new_MAX_DEPTH_M","METHOD","REGION","ISLAND","PERM_SITE","CLIMATE_STATION_YN","LATITUDE","LONGITUDE","REEF_ZONE","DEPTH_BIN","CCA","CORAL","EMA","HAL","I","MA","SC","SED","TURF","N","new.N"
5899,"KUR-00050",2013,2013-07-12,"SE1305","2013","RAMP_BASIC","Kure",0,15,16,"CPCE","NWHI","Kure",0,0,28.42248,-178.37646,"Forereef","Mid",2.4822695035461,1.06382978723404,1.77304964539007,0,0,18.4397163120567,0,1.77304964539007,74.468085106383,320,282
5901,"KUR-00052",2013,2013-07-12,"SE1305","2013","RAMP_BASIC","Kure",0,15,18,"CPCE","NWHI","Kure",0,0,28.38506,-178.34087,"Forereef","Mid",0.367647058823529,5.88235294117647,0.367647058823529,0,0,8.08823529411765,0,1.10294117647059,84.1911764705882,310,272
5903,"KUR-00054",2013,2013-07-13,"SE1305","2013","RAMP_BASIC","Kure",0,16,20,"CPCE","NWHI","Kure",0,0,28.43037,-178.28523,"Forereef","Mid",0,4.52961672473868,0,0,0,6.62020905923345,0,8.71080139372822,80.1393728222996,320,287
5909,"MAI-00430",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,18,22,"CPCE","MHI","Maui",0,0,20.76041579,-156.48108973,"Forereef","Deep",1.15384615384615,60,3.46153846153846,0,0,6.92307692307692,0,1.15384615384615,27.3076923076923,300,260
5910,"MAI-00447",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,4.3,5.5,"CPCE","MHI","Maui",0,0,20.75611412,-156.46477721,"Forereef","Shallow",0.337837837837838,43.9189189189189,0,0,0.337837837837838,0,0,3.37837837837838,52.027027027027,300,296
5911,"MAI-00587",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,11,15,"CPCE","MHI","Maui",0,0,20.71946718,-156.45784772,"Forereef","Mid",12.4113475177305,53.1914893617021,1.41843971631206,0,0,0.354609929078014,0,0,32.6241134751773,310,282
5913,"MAI-00438",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,16.2,16.4,"CPCE","MHI","Maui",0,0,20.67285877,-156.44863584,"Forereef","Mid",0.307692307692308,14.1538461538462,0.307692307692308,0,0,0.615384615384615,0,22.7692307692308,61.8461538461539,330,325
5914,"MAI-00439",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,12,13,"CPCE","MHI","Maui",0,0,20.58949663,-156.41570359,"Forereef","Mid",0.694444444444444,12.8472222222222,0,0,0,0,0,0.347222222222222,86.1111111111111,300,288
5915,"MAI-00432",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,19,20.4,"CPCE","MHI","Maui",0,0,20.7086873,-156.45577873,"Forereef","Deep",2.58620689655172,53.8793103448276,0.862068965517241,0,0,0.431034482758621,0,0,42.2413793103448,250,232
5916,"MAI-00449",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,2.7,3.9,"CPCE","MHI","Maui",0,0,20.73140896,-156.45860209,"Forereef","Shallow",3.37837837837838,42.9054054054054,0,0,0,0,0,0,53.7162162162162,300,296
