"SITEVISITID","SITE","OBS_YEAR","DATE_","MISSIONID","ANALYSIS_YEAR","ANALYSIS_SCHEME","SEC_NAME","EXCLUDE_FLAG","new_MIN_DEPTH_M","new_MAX_DEPTH_M","METHOD","REGION","ISLAND","PERM_SITE","CLIMATE_STATION_YN","LATITUDE","LONGITUDE","REEF_ZONE","DEPTH_BIN","ACAS","ACBR","ACPH","ACTA","AMNE","AMSP","ANTI","ASPP","ASSP","ASTS","AVSP","BGMA","BI","BR","BRMA","BRY","CAUL","CCAH","CCAR","CHLS","CMOR","COL","COSP","CYPS","DICO","DICT","DISP","ECHL","ECHP","EMA","ENC","EUSP","FASP","FAVS","FINE","FOL","FREE","FUSP","GALI","GALS","GASP","GC","GOAL","GONS","GRMA","HAL","HARD","HCOE","HYCO","HYSP","ISSP","LEPT","LESP","LOBO","LOBS","LOSY","LPHY","MASS","MESP","MICR","MISP","MOBR","MOEN","MOFO","MONE","MONS","NEOM","NS","OCTO","OUSP","PACS","PADI","PAEN","PAFO","PAMA","PAVS","PESP","PHSP","PLER","PLLE","PLSP","POBR","POCS","POEN","POFO","POMA","PONM","PSSP","RDMA","RUB","SAND","SG","SP","STYS","SYSP","TAB","TUN","TURFH","TURFR","TURS","UI","UPMA","USC","ZO","N","new.N","TRANSECT_PHOTOS"
5899,"KUR-00050",2013,2013-07-12,"SE1305","2013","RAMP_BASIC","Kure",0,15,16,"CPCE","NWHI","Kure",0,0,28.42248,-178.37646,"Forereef","Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4822695035461,0,0,0,0,0,0,0,0,0,0,0,1.77304964539007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3758865248227,0,0,0,0,0,0,0,0.354609929078014,0,0,0.709219858156028,0,0,0,0,0,0,0.709219858156028,1.77304964539007,0,0,0,0,0,0,73.7588652482269,0,0,0,1.06382978723404,0,0,320,282,"-1"
5901,"KUR-00052",2013,2013-07-12,"SE1305","2013","RAMP_BASIC","Kure",0,15,18,"CPCE","NWHI","Kure",0,0,28.38506,-178.34087,"Forereef","Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367647058823529,0,0,0,0,0,0,0,0,0,0,0,0.367647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08823529411765,0,0,0,0,0,0,0,0,0,0,3.30882352941176,0,0,2.57352941176471,0,0,0,0,1.10294117647059,0,0,0,0,0,0,83.4558823529412,0.735294117647059,0,0,0,0,0,310,272,"-1"
5903,"KUR-00054",2013,2013-07-13,"SE1305","2013","RAMP_BASIC","Kure",0,16,20,"CPCE","NWHI","Kure",0,0,28.43037,-178.28523,"Forereef","Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83275261324042,0,0,0,0,0,0,0,0,0,0,2.09059233449477,0,0,2.4390243902439,0,0,0,0,8.71080139372822,0,0,0,0,0,0,80.1393728222996,0,0,0,2.78745644599303,0,0,320,287,"-1"
5909,"MAI-00430",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,18,22,"CPCE","MHI","Maui",0,0,20.76041579,-156.48108973,"Forereef","Deep",0,0,0,0,0,0,0,0,0,0,0,6.92307692307692,0,0,0,0,0,1.15384615384615,0,0,0,0,0,0,0,0,0,0,0,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15384615384615,0,38.4615384615385,0,0,0,0,0,0,0,0,0,0,0.384615384615385,0,0,0,0,0,0,0.384615384615385,0,0,1.53846153846154,13.0769230769231,0,0,0,1.15384615384615,0,0,0,0,0,0,27.3076923076923,0,0,0,0,0,0,300,260,"-1"
5910,"MAI-00447",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,4.3,5.5,"CPCE","MHI","Maui",0,0,20.75611412,-156.46477721,"Forereef","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2162162162162,0,0,0,0,0,0,0,0,0,0,0,0,0.675675675675676,0,0,0,0,0,0,0.337837837837838,0,0,0.675675675675676,1.01351351351351,0,0,0,3.37837837837838,0,0,0,0,0,0,52.027027027027,0,0,0,0,0,0.337837837837838,300,296,"-1"
5911,"MAI-00587",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,11,15,"CPCE","MHI","Maui",0,0,20.71946718,-156.45784772,"Forereef","Mid",0,0,0,0,0,0,0,0,0,0,0,0.354609929078014,0,0,0,0,0,12.4113475177305,0,0,0,0,0,0,0,0,0,0,0,1.41843971631206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3049645390071,0,8.15602836879433,0,0,0,0,0,0,0,0,0,0,11.7021276595745,0,0,0,0,0,0,0.354609929078014,0,0,1.41843971631206,4.25531914893617,0,0,0,0,0,0,0,0,0,0,32.6241134751773,0,0,0,0,0,0,310,282,"-1"
5913,"MAI-00438",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,16.2,16.4,"CPCE","MHI","Maui",0,0,20.67285877,-156.44863584,"Forereef","Mid",0,0,0,0,0,0,0,0,0,0,0,0.615384615384615,0,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615384615,0,0,12.9230769230769,0.615384615384615,0,0,0,22.7692307692308,0,0,0,0,0,0,59.0769230769231,2.76923076923077,0,0,0,0,0,330,325,"-1"
5914,"MAI-00439",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,12,13,"CPCE","MHI","Maui",0,0,20.58949663,-156.41570359,"Forereef","Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347222222222222,0,0,9.72222222222222,2.77777777777778,0,0,0,0.347222222222222,0,0,0,0,0,0,84.7222222222222,1.38888888888889,0,0,0,0,0,300,288,"-1"
5915,"MAI-00432",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,19,20.4,"CPCE","MHI","Maui",0,0,20.7086873,-156.45577873,"Forereef","Deep",0,0,0,0,0,0,0,0,0,0,0,0.431034482758621,0,0,0,0,0,2.58620689655172,0,0,0,0,0,0,0,0,0,0,0,0.862068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48275862068965,0,15.5172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75862068965517,21.1206896551724,0,0,0,0,0,0,0,0,0,0,42.2413793103448,0,0,0,0,0,0,250,232,"-1"
5916,"MAI-00449",2013,2013-08-02,"HA1304","2013-15","RAMP_BASIC","MAI_KIHEI",0,2.7,3.9,"CPCE","MHI","Maui",0,0,20.73140896,-156.45860209,"Forereef","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8513513513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01351351351351,0,0,1.01351351351351,27.027027027027,0,0,0,0,0,0,0,0,0,0,53.7162162162162,0,0,0,0,0,0,300,296,"-1"
