METHOD,SITE,SITEVISITID,TRANSECTAREA_j,GENUS_CODE,JuvColCount,JuvColDen,MISSIONID,DATE_,OBS_YEAR,REGION,REGION_NAME,ISLAND,ISLANDCODE,SEC_NAME,REEF_ZONE,DEPTH_BIN,AREA_HA,REP_CARD,RAMP_CURRENT,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,bA_BENTHIC_REP_CARD,bBENTHIC_SEC_CODE,bGEN_MHI_STRUCTURE,bPROTECTION_DS,BENTHIC_BASIC,SAMOA_CLIMATE,BENTHIC_2018,NOTES,Juvpres.abs,NH,STRATANAME,REGION_YEAR,DB_RZ,n,sw,LATITUDE,LONGITUDE,MIN_DEPTH_M,MAX_DEPTH_M,HumanDen,Dist,N
DIVER,HAW-01411,5937,3,SSSS,34,11.3333333333333,HA1304,2013-08-03,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_HAMAKUA,Forereef,Mid,2334.19033,Hawaii,HAW_HAMAKUA,HAW_HAMAKUA,NOT,NOT,NOT,NOT,HAW_CM,HAW_HA,CM,OPEN,HAW_CMHA_CM_OPEN,NOT,HAW_HAMAKUA,Not much hard/soft information,1,9337,HAW_HAMAKUA_Forereef_Mid,MHI_2013,Forereef_Mid,2,4668.5,20.23514229,-155.7517892,NA,12.80097531,50.69595718383789,0,1
DIVER,HAW-01448,5939,3,SSSS,19,6.33333333333333,HA1304,2013-08-03,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_HAMAKUA,Forereef,Mid,2334.19033,Hawaii,HAW_HAMAKUA,HAW_HAMAKUA,NOT,NOT,NOT,NOT,HAW_CM,HAW_HA,CM,OPEN,HAW_CMHA_CM_OPEN,NOT,HAW_HAMAKUA,Not much hard/soft information,1,9337,HAW_HAMAKUA_Forereef_Mid,MHI_2013,Forereef_Mid,2,4668.5,20.25085609,-155.7918375,12.80097531,13.71533069,9.565764427185059,0,1
DIVER,HAW-01468,5938,3,SSSS,36,12,HA1304,2013-08-03,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_HAMAKUA,Forereef,Shallow,1117.329716,Hawaii,HAW_HAMAKUA,HAW_HAMAKUA,NOT,NOT,NOT,NOT,HAW_CM,HAW_HA,CM,OPEN,HAW_CMHA_CM_OPEN,NOT,HAW_HAMAKUA,Not much hard/soft information,1,4469,HAW_HAMAKUA_Forereef_Shallow,MHI_2013,Forereef_Shallow,2,2234.5,20.24428267,-155.8900548,NA,6.400487656,2.8151352405548096,0,1
DIVER,HAW-01476,5942,3,SSSS,5,1.66666666666667,HA1304,2013-08-03,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_HAMAKUA,Forereef,Shallow,1117.329716,Hawaii,HAW_HAMAKUA,HAW_HAMAKUA,NOT,NOT,NOT,NOT,HAW_CM,HAW_HA,CM,OPEN,HAW_CMHA_CM_OPEN,NOT,HAW_HAMAKUA,Not much hard/soft information,1,4469,HAW_HAMAKUA_Forereef_Shallow,MHI_2013,Forereef_Shallow,2,2234.5,20.26737649,-155.8629675,5.486132277,6.09570253,6.9735307693481445,0,1
DIVER,HAW-01487,5947,3,SSSS,12,4,HA1304,2013-08-04,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_KONA,Forereef,Deep,1546.877064,Hawaii,HAW_KONA,HAW_KONA,NOT,NOT,NOT,NOT,HAW_CR,HAW_KO,CR,OPEN,HAW_CRKO_CR_OPEN,NOT,HAW_KONA,,1,6188,HAW_KONA_Forereef_Deep,MHI_2013,Forereef_Deep,2,3094,19.14996377,-155.9173019,22.55409936,23.46845474,0,0,1
DIVER,HAW-01488,6015,3,SSSS,28,9.33333333333333,HA1304,2013-08-08,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_KONA,Forereef,Deep,1546.877064,Hawaii,HAW_KONA,HAW_KONA,NOT,NOT,NOT,NOT,HAW_CR,HAW_KO,CR,OPEN,HAW_CRKO_CR_OPEN,NOT,HAW_KONA,,1,6188,HAW_KONA_Forereef_Deep,MHI_2013,Forereef_Deep,2,3094,20.06308017,-155.8532859,18.28710759,20.42060347,53.92912673950195,0,1
DIVER,HAW-01540,6016,3,SSSS,17,5.66666666666667,HA1304,2013-08-08,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_KONA,Forereef,Mid,2362.718917,Hawaii,HAW_KONA,HAW_KONA,NOT,NOT,NOT,NOT,HAW_CR,HAW_KO,CR,OPEN,HAW_CRKO_CR_OPEN,NOT,HAW_KONA,,1,9451,HAW_KONA_Forereef_Mid,MHI_2013,Forereef_Mid,2,4725.5,20.00323883,-155.8331828,14.62968607,15.54404145,9.398431777954102,0,1
DIVER,HAW-01566,5948,3,SSSS,23,7.66666666666667,HA1304,2013-08-04,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_KONA,Forereef,Mid,2362.718917,Hawaii,HAW_KONA,HAW_KONA,NOT,NOT,NOT,NOT,HAW_CR,HAW_KO,CR,OPEN,HAW_CRKO_CR_OPEN,NOT,HAW_KONA,,1,9451,HAW_KONA_Forereef_Mid,MHI_2013,Forereef_Mid,2,4725.5,19.16065933,-155.9154834,13.41054557,13.41054557,0.4806828200817108,0,1
DIVER,HAW-01579,6017,3,SSSS,11,3.66666666666667,HA1304,2013-08-08,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_KONA,Forereef,Shallow,1817.863584,Hawaii,HAW_KONA,HAW_KONA,NOT,NOT,NOT,NOT,HAW_CR,HAW_KO,CR,OPEN,HAW_CRKO_CR_OPEN,NOT,HAW_KONA,,1,7271,HAW_KONA_Forereef_Shallow,MHI_2013,Forereef_Shallow,3,2423.66666666667,19.9609699,-155.8595162,2.438281012,5.18134715,50.04511642456055,0,1
DIVER,HAW-01619,6018,3,SSSS,14,4.66666666666667,HA1304,2013-08-08,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_KONA,Forereef,Shallow,1817.863584,Hawaii,HAW_KONA,HAW_KONA,NOT,NOT,NOT,NOT,HAW_CR,HAW_KO,CR,OPEN,HAW_CRKO_CR_OPEN,NOT,HAW_KONA,,1,7271,HAW_KONA_Forereef_Shallow,MHI_2013,Forereef_Shallow,3,2423.66666666667,19.9272578,-155.8894908,2.743066138,5.18134715,63.102745056152344,0,1
DIVER,HAW-01625,5967,3,SSSS,17,5.66666666666667,HA1304,2013-08-06,2013,MHI,Main Hawaiian Islands,Hawaii,HAW,HAW_PUNA,Forereef,Deep,1446.862405,Hawaii,HAW_PUNA,HAW_PUNA,NOT,NOT,NOT,NOT,HAW_CM,HAW_PU,CM,OPEN,HAW_CMPU_CM_OPEN,NOT,HAW_PUNA,,1,5787,HAW_PUNA_Forereef_Deep,MHI_2013,Forereef_Deep,3,1929,19.44420143,-154.8548014,19.20146297,23.77323987,4.244543552398682,0,1
