"","SITE","OBS_YEAR","PeakDHW","PeakDate"
"1","AGR-00352",2013,5.94999980926514,"2013-09-07"
"2","AGR-00352",2014,11.2600002288818,"2014-08-23"
"3","AGR-00352",2015,0,"2015-01-01"
"4","AGR-00352",2016,5.51999998092651,"2016-08-12"
"5","AGR-00352",2017,8.21000003814697,"2017-08-28"
"6","AGR-00352",2018,0,"2018-01-01"
"7","AGR-00352",2019,3.42000007629395,"2019-08-05"
"8","AGR-00318",2013,5.94999980926514,"2013-09-07"
"9","AGR-00318",2014,11.2600002288818,"2014-08-23"
"10","AGR-00318",2015,0,"2015-01-01"
"11","AGR-00318",2016,5.51999998092651,"2016-08-12"
"12","AGR-00318",2017,8.21000003814697,"2017-08-28"
"13","AGR-00318",2018,0,"2018-01-01"
"14","AGR-00318",2019,3.42000007629395,"2019-08-05"
"15","AGR-00353",2013,5.94999980926514,"2013-09-07"
"16","AGR-00353",2014,11.2600002288818,"2014-08-23"
"17","AGR-00353",2015,0,"2015-01-01"
"18","AGR-00353",2016,5.51999998092651,"2016-08-12"
"19","AGR-00353",2017,8.21000003814697,"2017-08-28"
"20","AGR-00353",2018,0,"2018-01-01"
"21","AGR-00353",2019,3.42000007629395,"2019-08-05"
"22","AGR-00311",2013,6.26000022888184,"2013-09-07"
"23","AGR-00311",2014,12.0699996948242,"2014-08-25"
"24","AGR-00311",2015,0,"2015-01-01"
"25","AGR-00311",2016,5.32999992370605,"2016-08-11"
"26","AGR-00311",2017,8.73999977111816,"2017-08-28"
"27","AGR-00311",2018,0,"2018-01-01"
"28","AGR-00311",2019,3.70000004768372,"2019-08-05"
"29","AGR-00380",2013,5.63000011444092,"2013-09-07"
"30","AGR-00380",2014,11.3900003433228,"2014-08-24"
"31","AGR-00380",2015,0,"2015-01-01"
"32","AGR-00380",2016,5.38000011444092,"2016-08-11"
"33","AGR-00380",2017,8.1899995803833,"2017-08-28"
"34","AGR-00380",2018,0,"2018-01-01"
"35","AGR-00380",2019,3.39000010490417,"2019-08-05"
"36","AGR-00313",2013,5.63000011444092,"2013-09-07"
"37","AGR-00313",2014,11.3900003433228,"2014-08-24"
"38","AGR-00313",2015,0,"2015-01-01"
"39","AGR-00313",2016,5.38000011444092,"2016-08-11"
"40","AGR-00313",2017,8.1899995803833,"2017-08-28"
"41","AGR-00313",2018,0,"2018-01-01"
"42","AGR-00313",2019,3.39000010490417,"2019-08-05"
"43","AGR-00397",2013,5.80000019073486,"2013-09-07"
"44","AGR-00397",2014,11.1099996566772,"2014-08-23"
"45","AGR-00397",2015,0,"2015-01-01"
"46","AGR-00397",2016,5.40000009536743,"2016-08-11"
"47","AGR-00397",2017,8.01000022888184,"2017-08-28"
"48","AGR-00397",2018,0,"2018-01-01"
"49","AGR-00397",2019,3.40000009536743,"2019-08-05"
"50","AGU-00314",2013,2.82999992370605,"2013-09-26"
"51","AGU-00314",2014,3.65000009536743,"2014-08-22"
"52","AGU-00314",2015,0.740000009536743,"2015-07-31"
"53","AGU-00314",2016,3.98000001907349,"2016-08-29"
"54","AGU-00314",2017,8.34000015258789,"2017-09-29"
"55","AGU-00314",2018,0,"2018-01-01"
"56","AGU-00314",2019,1.73000001907349,"2019-10-06"
"57","AGU-00281",2013,2.82999992370605,"2013-09-26"
"58","AGU-00281",2014,3.65000009536743,"2014-08-22"
"59","AGU-00281",2015,0.740000009536743,"2015-07-31"
"60","AGU-00281",2016,3.98000001907349,"2016-08-29"
"61","AGU-00281",2017,8.34000015258789,"2017-09-29"
"62","AGU-00281",2018,0,"2018-01-01"
"63","AGU-00281",2019,1.73000001907349,"2019-10-06"
"64","AGU-00289",2013,3.13000011444092,"2013-09-26"
"65","AGU-00289",2014,4,"2014-08-22"
"66","AGU-00289",2015,0.759999990463257,"2015-07-31"
"67","AGU-00289",2016,4.07999992370605,"2016-08-29"
"68","AGU-00289",2017,8.84000015258789,"2017-10-01"
"69","AGU-00289",2018,0,"2018-01-01"
