"","SITE","SITEVISITID","ISLAND","YearSinceDHW4","YearSinceDHW8"
"1","AGR-00311",10912,"Agrihan",0.629120879120879,2.67582417582418
"2","AGR-00313",10914,"Agrihan",0.629120879120879,2.67857142857143
"3","AGR-00318",10900,"Agrihan",0.623626373626374,2.67582417582418
"4","AGR-00352",10899,"Agrihan",0.623626373626374,2.67582417582418
"5","AGR-00353",10901,"Agrihan",0.623626373626374,2.67582417582418
"6","AGR-00380",10913,"Agrihan",0.629120879120879,2.67857142857143
"7","AGR-00397",10915,"Agrihan",0.626373626373626,2.67857142857143
"8","AGU-00281",6742,NA,NA,NA
"9","AGU-00289",6743,NA,NA,NA
"10","AGU-00302",6750,NA,NA,NA
"11","AGU-00308",6751,NA,NA,NA
"12","AGU-00314",6741,NA,NA,NA
"13","AGU-00332",6744,NA,NA,NA
"14","AGU-00397",10850,NA,NA,NA
"15","AGU-00416",10866,NA,NA,NA
"16","AGU-00423",10847,NA,NA,NA
"17","AGU-00431",10851,NA,NA,NA
"18","AGU-00457",10848,NA,NA,NA
"19","AGU-00470",10849,NA,NA,NA
"20","AGU-00487",10852,NA,NA,NA
"21","AGU-00509",10865,NA,NA,NA
"22","AGU-00515",10853,NA,NA,NA
"23","AGU-00520",10867,NA,NA,NA
"24","ALA-00178",7079,NA,NA,NA
"25","ALA-00184",7078,NA,NA,NA
"26","ALA-00194",7093,NA,NA,NA
"27","ALA-00205",7077,NA,NA,NA
"28","ALA-00209",7092,NA,NA,NA
"29","ALA-00211",7076,NA,NA,NA
"30","ALA-00259",10982,NA,NA,NA
"31","ALA-00276",10983,NA,NA,NA
"32","ALA-00283",10985,NA,NA,NA
"33","ALA-00298",10984,NA,NA,NA
"34","ASC-00303",7018,NA,NA,NA
"35","ASC-00305",7012,NA,NA,NA
"36","ASC-00307",7017,NA,NA,NA
"37","ASC-00308",6998,NA,NA,NA
"38","ASC-00309",7002,NA,NA,NA
"39","ASC-00312",7000,NA,NA,NA
"40","ASC-00316",7019,NA,NA,NA
"41","ASC-00317",7001,NA,NA,NA
"42","ASC-00318",7013,NA,NA,NA
"43","ASC-00324",7011,NA,NA,NA
"44","ASC-00337",7010,NA,NA,NA
"45","ASC-00339",7016,NA,NA,NA
"46","ASC-00401",10986,NA,NA,NA
"47","ASC-00404",11001,NA,NA,NA
"48","ASC-00414",11002,NA,NA,NA
"49","ASC-00425",11005,NA,NA,NA
"50","ASC-00437",11006,NA,NA,NA
"51","ASC-00448",11003,NA,NA,NA
"52","ASC-00455",11007,NA,NA,NA
"53","ASC-00456",10988,NA,NA,NA
"54","ASC-00464",11004,NA,NA,NA
"55","ASC-00466",10987,NA,NA,NA
"56","ASC-00487",11008,NA,NA,NA
"57","ASC-00490",10989,NA,NA,NA
"58","BAK-00407",8006,NA,NA,NA
"59","BAK-00408",7984,NA,NA,NA
"60","BAK-00418",8007,NA,NA,NA
"61","BAK-00441",8021,NA,NA,NA
"62","BAK-00445",8023,NA,NA,NA
"63","BAK-00452",8008,NA,NA,NA
"64","BAK-00454",7986,NA,NA,NA
"65","BAK-00457",7985,NA,NA,NA
"66","BAK-00462",8010,NA,NA,NA
"67","BAK-00467",8022,NA,NA,NA
"68","BAK-00469",8020,NA,NA,NA
"69","BAK-00480",7971,NA,NA,NA
"70","BAK-00490",7987,NA,NA,NA
"71","BAK-00497",7970,NA,NA,NA
"72","BAK-00506",7972,NA,NA,NA
"73","BAK-00509",10459,NA,NA,NA
"74","BAK-00511",10458,NA,NA,NA
"75","BAK-00573",10464,NA,NA,NA
"76","BAK-00581",10460,NA,NA,NA
"77","BAK-00644",10461,NA,NA,NA
"78","BAK-00649",10463,NA,NA,NA
"79","BAK-00678",10462,NA,NA,NA
"80","BAK-00724",11714,NA,NA,NA
"81","BAK-00725",11700,NA,NA,NA
