"ISLAND","SITE","LATITUDE","LONGITUDE","WavePower"
"Maui","MAI-01587",20.71970028,-156.458176,0
"Hawaii","HAW-01476",20.26737649,-155.8629675,70287.40121
"Hawaii","HAW-01468",20.24428267,-155.8900548,0
"Hawaii","HAW-01448",20.25085609,-155.7918375,81126.20138
"Hawaii","HAW-01411",20.23514229,-155.7517892,85814.101465
"Hawaii","HAW-01487",19.14996377,-155.9173019,20718.800355
"Hawaii","HAW-01566",19.16065933,-155.9154834,20718.800355
"Hawaii","HAW-01631",19.8325335,-155.0803804,74648.25129
"Hawaii","HAW-01643",19.74481596,-155.0538582,77725.20133
"Hawaii","HAW-01625",19.44420143,-154.8548014,71.450001715
"Hawaii","HAW-01757",19.36768128,-154.9536881,968.6000192
"Hawaii","HAW-01759",19.49005,-154.814167,68183.051125
"Hawaii","HAW-01750",19.4459773,-154.8528663,57294.75101
"Hawaii","HAW-01648",19.408233,-154.901467,50259.900895
"Hawaii","HAW-01743",19.3557,-154.966183,56181.80096
"Hawaii","HAW-01766",18.92598792,-155.6828787,63.65000093
"Hawaii","HAW-01540",20.00323883,-155.8331828,32.10000062
"Hawaii","HAW-01619",19.9272578,-155.8894908,1414.650026
"Hawaii","HAW-01488",20.06308017,-155.8532859,51.050001025
"Hawaii","HAW-01579",19.9609699,-155.8595162,39.050000905
"Maui","MAI-01571",20.8948471,-156.1964341,133995.1523
"Maui","MAI-01502",20.93434112,-156.2540466,107177.7019
"Maui","MAI-01443",20.80088295,-156.6115008,0
"Molokai","MOL-01447",21.04605798,-156.9371994,489.19999646
"Molokai","MOL-01456",21.0864077,-157.0803999,18276.650235
"Molokai","MOL-01453",21.06312487,-156.9834765,1400.8000185
"Molokai","MOL-01487",21.08081974,-157.0402812,13476.1499
"Molokai","MOL-01446",21.08058781,-157.0961696,18671.54986
"Molokai","MOL-01461",21.08327664,-157.131719,18884.49986
"Kauai","KAU-01231",21.99781495,-159.3286937,123449.75
"Niihau","NII-01215",21.88881895,-160.0847964,105103
"Niihau","NII-01303",21.85115118,-160.1632766,88669.75
"Niihau","NII-01272",21.78189537,-160.21368,20696.40004
"Niihau","NII-01219",22.0074005,-160.0703892,227672.997225
"Niihau","NII-01231",21.99753013,-160.0592162,245349.44705
"Niihau","NII-01302",21.95185253,-160.0638099,131179.25
"Niihau","NII-01284",21.78511108,-160.2200961,70782.25
"Kauai","KAU-01312",22.16807337,-159.7257812,199697.75
"Kauai","KAU-01363",22.16861,-159.70004,189961.90505
"Kauai","KAU-01366",22.07905672,-159.7688707,155862
"Kauai","KAU-01340",22.16817328,-159.7226059,199697.75
"Kauai","KAU-01361",22.15537386,-159.720993,186689.454975
"Kauai","KAU-01339",22.11616181,-159.7387894,149444.75
"Niihau","NII-01290",21.89360711,-160.2281938,162428
"Niihau","NII-01225",22.00823567,-160.0976654,108528.0007
"Niihau","NII-01275",21.90013762,-160.2114234,155424.5
"Niihau","NII-01227",22.00152445,-160.1042131,137362.75
"Kauai","KAU-01352",22.06374968,-159.7854333,169789.00335
"Niihau","NII-01224",22.01583445,-160.1024489,142642.5
"Niihau","NII-01235",22.00120308,-160.0781717,151377.5
"Niihau","NII-01254",21.9506064,-160.1519695,153111
"Niihau","NII-01255",21.91467737,-160.2130769,160030.0625
"Kauai","KAU-01238",21.88105,-159.54254,19922.19961
"Kauai","KAU-01263",21.91232,-159.65221,24626.45035
"Kauai","KAU-01217",21.88728875,-159.5715792,19922.19961
"Kauai","KAU-01291",21.9533,-159.69987,19654.800035
"Kauai","KAU-01252",21.88926604,-159.5662502,19840.199615
"Kauai","KAU-01293",21.95339606,-159.6764472,19301.200025
"Oahu","OAH-01508",21.68721012,-158.0485984,195037.5
"Oahu","OAH-01509",21.70166044,-158.0294426,215946.5
"Oahu","OAH-01529",21.66260001,-158.0584127,160242.25
"Oahu","OAH-01537",21.61967394,-158.0992164,158430.125
"Oahu","OAH-01558",21.59353137,-158.1109032,143842.0016
"Oahu","OAH-01543",21.58879333,-158.1388367,160226.5
"Molokai","MOL-01502",21.13175958,-157.3065268,163782.5
"Molokai","MOL-01501",21.15872894,-157.2899076,151514.8517
"Molokai","MOL-01509",21.1398783,-157.2934099,149290.2529
"Molokai","MOL-01516",21.10545809,-157.3090216,148479.12725
"Molokai","MOL-01510",21.09678986,-157.3138321,162927.1018
"Molokai","MOL-01513",21.09064342,-157.280954,19266.199625
"Molokai","MOL-01514",21.08535158,-157.2566712,19266.199625
"Molokai","MOL-01425",21.17602,-156.78873,255496.44705
"Molokai","MOL-01435",21.17481482,-156.8213899,255480.69705
"Molokai","MOL-01444",21.17254358,-156.9280971,151377.5
"Molokai","MOL-01437",21.18055961,-156.9475381,140662.25
"Molokai","MOL-01432",21.17711976,-156.8225468,256775.647
"Molokai","MOL-01436",21.16903148,-156.8712499,242126
"Molokai","MOL-01427",21.17230268,-156.9378497,125503.9988725
