SITEVISITID,REGION,ISLAND,SITE,REEF_ZONE,DEPTH_BIN,MISSIONID,OBS_YEAR,DATE_,HABITAT_CODE,LATITUDE_LOV,LONGITUDE_LOV,EXCLUDE_FLAG,new_MIN_DEPTH_M,new_MAX_DEPTH_M,Benthic,Fish,SEC_NAME,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,TUT2012,OTHER_AREA_GROUPING,SPECIAL_PROJ_YN,SPECIAL_PROJ_DESCRIPTION
10236,NWHI,Kure,KUR-00586,Forereef,Deep,HA1606,2016,9/13/2016,SAG,28.41338,-178.3843,0,24.4,26,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10241,NWHI,Kure,KUR-00641,Forereef,Mid,HA1606,2016,9/13/2016,SAG,28.41559,-178.3805,0,16.8,18.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10232,NWHI,Kure,KUR-00725,Forereef,Deep,HA1606,2016,9/13/2016,SAG,28.4165,-178.3802,0,19.50625,21.33496,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
9119,NWHI,Kure,KUR-04031,Forereef,Deep,HA1505,2015,8/11/2015,SAG,28.40798,-178.3801,0,21.3,22.8,0,1,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,NA,
10240,NWHI,Kure,KUR-00572,Forereef,Deep,HA1606,2016,9/13/2016,AGR,28.40279,-178.3799,0,21.3,21.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
5899,NWHI,Kure,KUR-00050,Forereef,Mid,SE1305,2013,7/12/2013,NA,28.42248,-178.37646,0,15,16,0,0,Kure,NA,RAMP_BASIC,2013,NA,NA,NA,NA
10265,NWHI,Kure,KUR-00050,Forereef,Mid,HA1606,2016,9/14/2016,NA,28.42248,-178.37646,0,15,16,0,0,Kure,NA,RAMP_BASIC,2016,NA,NA,NA,NA
10242,NWHI,Kure,KUR-00584,Forereef,Deep,HA1606,2016,9/13/2016,SAG,28.42983,-178.3759,0,21.3,22.3,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
11331,NWHI,Kure,KUR-04065,Forereef,Deep,HA1704,2017,9/19/2017,SAG,28.43104,-178.3746,0,18.3,27.4,0,1,Kure,RANDOM,RAMP_BASIC,2017,NA,NA,NA,
9118,NWHI,Kure,KUR-04016,Forereef,Shallow,HA1505,2015,8/11/2015,SAG,28.42291,-178.3742,0,4.876562,9.448339,1,0,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
9115,NWHI,Kure,KUR-04011,Forereef,Mid,HA1505,2015,8/10/2015,AGR,28.39564,-178.3703,0,12.49619,16.76318,1,0,Kure,RANDOM,RAMP_BASIC,2013-15,NA,NA,0,0
10215,NWHI,Kure,KUR-00718,Forereef,Deep,HA1606,2016,9/12/2016,AGR,28.39072,-178.37,0,21.63974,26.21152,1,0,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,0,
10237,NWHI,Kure,KUR-00643,Forereef,Mid,HA1606,2016,9/13/2016,SAG,28.43764,-178.3696,0,13.1,15.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10226,NWHI,Kure,KUR-00588,Forereef,Deep,HA1606,2016,9/12/2016,SAG,28.38995,-178.3694,0,23.5,25,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
10227,NWHI,Kure,KUR-00622,Forereef,Mid,HA1606,2016,9/12/2016,AGR,28.39396,-178.3686,0,14.5,17.5,0,1,Kure,RANDOM,RAMP_BASIC,2016,NA,NA,NA,
